Vivado Simulator 2019.2
Time resolution is 1 ps
initializing run_philv_core.uut.MEMORY's instruction memory from '                                                                                      current_test.tv'
PC.q = 00400000, MemReadData = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Instr = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, R1 = xxxxxxxx, R2 = xxxxxxxx, ALU_SRC_A =          x, ALU_SRC_B =          x, ALU_RESULT =          x, ALU_OUT =          x, r03 =           x
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, R1 = 00000000, R2 = 00000000, ALU_SRC_A =          x, ALU_SRC_B =          x, ALU_RESULT =          x, ALU_OUT =          x, r03 =           x
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          0, ALU_SRC_B =          0, ALU_RESULT =          0, ALU_OUT =          x, r03 =           x
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          0, r03 =           x
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           0
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
PC.q = 00400000, MemReadData = 00000000000000000000000110110011, Instr = 00000000000000000000000110110011, R1 = 00000001, R2 = 00000001, ALU_SRC_A =          1, ALU_SRC_B =          1, ALU_RESULT =          2, ALU_OUT =          2, r03 =           2
$finish called at time : 200 ns : File "/home/anthony/Documents/PhilosophyV/src/modules_tb/philv_core/run_phil_v_core.v" Line 58
